to,from
Coclearia afficinalis,Halictid
Coclearia afficinalis,Syrphid
Coclearia afficinalis,Muscid
Camassia leichtlinii,Bombus
Camassia leichtlinii,Syrphid
Camassia leichtlinii,Syrphid
Heuchera micrantha,Halictid
Erysimum asperum,Syrphid
Erysimum asperum,Syrphid
Helleborus orientalis,Muscid
Glaucium flavum,Bombus
Thymus leucospermus,Halictid
Thymus leucospermus,Halictid
Thymus leucospermus,Syrphid
Hydrophyllum virginiana,Syrphid
Hydrophyllum virginiana,Syrphid
Hydrophyllum virginiana,Syrphid
Hydrophyllum virginiana,Syrphid
Hydrophyllum virginiana,Muscid
Iris douglasiana,Muscid
Horminum pyrenaicum,Syrphid
Horminum pyrenaicum,Syrphid
Horminum pyrenaicum,Syrphid
Polygonum bisorta,Halictid
Tragopogon porrifolius,Hummingbird
Wyethia angustifolia,Bombus
Wyethia angustifolia,Bombus
Wyethia angustifolia,Syrphid
Wyethia angustifolia,Syrphid
Erysimum asperum,Syrphid
Borago officinalis,Osmia
Polygonum bisorta,Muscid
Thymus leucospermus,Osmia
Wyethia angustifolia,Bombus
Wyethia angustifolia,Bombus
Wyethia angustifolia,Osmia
Heuchera micrantha,Muscid
Polemonium reptans,Osmia
Polemonium reptans,Osmia
Smilacina stellata,Muscid
Ruta graveolens,Halictid
Ruta graveolens,Halictid
Catharanthus roseus,Syrphid
Eriogonum umbellatum,Syrphid
Eriogonum umbellatum,Syrphid
Gilia capitata,Osmia
Gilia capitata,Syrphid
Polemonium reptans,Osmia
Polemonium reptans,Muscid
Polemonium reptans,Muscid
Erysimum asperum,Halictid
Erysimum asperum,Syrphid
Erysimum asperum,Ant
Erysimum asperum,Ant
Rhodiola rosea,Muscid
Polygonum bisorta,Halictid
Polygonum bisorta,Halictid
Wyethia angustifolia,Bombus
Wyethia angustifolia,Bombus
Sedua spathulifolium,Osmia
Sedua spathulifolium,Syrphid
Heuchera sanguinea,Osmia
Halictid,Coclearia afficinalis
Syrphid,Coclearia afficinalis
Muscid,Coclearia afficinalis
Bombus,Camassia leichtlinii
Syrphid,Camassia leichtlinii
Syrphid,Camassia leichtlinii
Halictid,Heuchera micrantha
Syrphid,Erysimum asperum
Syrphid,Erysimum asperum
Muscid,Helleborus orientalis
Bombus,Glaucium flavum
Halictid,Thymus leucospermus
Halictid,Thymus leucospermus
Syrphid,Thymus leucospermus
Syrphid,Hydrophyllum virginiana
Syrphid,Hydrophyllum virginiana
Syrphid,Hydrophyllum virginiana
Syrphid,Hydrophyllum virginiana
Muscid,Hydrophyllum virginiana
Muscid,Iris douglasiana
Syrphid,Horminum pyrenaicum
Syrphid,Horminum pyrenaicum
Syrphid,Horminum pyrenaicum
Halictid,Polygonum bisorta
Hummingbird,Tragopogon porrifolius
Bombus,Wyethia angustifolia
Bombus,Wyethia angustifolia
Syrphid,Wyethia angustifolia
Syrphid,Wyethia angustifolia
Syrphid,Erysimum asperum
Osmia,Borago officinalis
Muscid,Polygonum bisorta
Osmia,Thymus leucospermus
Bombus,Wyethia angustifolia
Bombus,Wyethia angustifolia
Osmia,Wyethia angustifolia
Muscid,Heuchera micrantha
Osmia,Polemonium reptans
Osmia,Polemonium reptans
Muscid,Smilacina stellata
Halictid,Ruta graveolens
Halictid,Ruta graveolens
Syrphid,Catharanthus roseus
Syrphid,Eriogonum umbellatum
Syrphid,Eriogonum umbellatum
Osmia,Gilia capitata
Syrphid,Gilia capitata
Osmia,Polemonium reptans
Muscid,Polemonium reptans
Muscid,Polemonium reptans
Halictid,Erysimum asperum
Syrphid,Erysimum asperum
Ant,Erysimum asperum
Ant,Erysimum asperum
Muscid,Rhodiola rosea
Halictid,Polygonum bisorta
Halictid,Polygonum bisorta
Bombus,Wyethia angustifolia
Bombus,Wyethia angustifolia
Osmia,Sedua spathulifolium
Syrphid,Sedua spathulifolium
Osmia,Heuchera sanguinea